HSCODE,DESCRIPTION,CD,RD,SD,VAT,AIT,AT,FIXED
29146100,Anthraquinone,10,0,0,15,5,5,37
29146200,Coenzyme Q10 (ubidecarenone (INN)),10,0,0,15,5,5,37
29146900,Other Quinones (Excl. Anthraquinone),10,0,0,15,5,5,37
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29147100,Chlordecone (ISO),10,0,0,15,5,5,37
29147900,Other,10,0,0,15,5,5,37
29151100,Formic Acid,10,0,0,15,5,5,37
29151200,Salts Of Formic Acid,10,0,0,15,5,5,37
29151300,Esters Of Formic Acid,10,0,0,15,5,5,37
29152100,Acetic Acid,25,3,0,15,5,5,58.6
29152400,Acetic Anhydride,10,0,0,15,5,5,37
29152910,Sodium acetate,5,0,0,15,5,5,31
29152990,"Formic acid, its salts and esters:Excl. Sodium Acetate",10,0,0,15,5,5,37
29153100,Ethyl Acetate,5,0,0,15,5,5,31
29153200,Vinyl Acetate,5,0,0,15,5,5,31
29153300,N-Butyl Acetate,10,0,0,15,5,5,37
29153600,Dinoseb (ISO) acetate,10,0,0,15,5,5,37
29153900,"Other Esters Of Acetic Acids, Nes",10,0,0,15,5,5,37
29154000,"Mono-, Di- Or Trichloroacetic Acids, Their Salts And Esters",10,0,0,15,5,5,37
29155010,Deoxycortone Phenyel Propionate,5,0,0,15,5,5,31
29155090,"Other Propionic Acid,Its Salts&Esters(Excl.Deoxycortone Phenyel Propionate",10,0,0,15,5,5,37
29156000,"Butyric Acids, Valeric Acids, Their Salts And Esters",10,0,0,15,5,5,37
29157010,"Stearic Acid,Their Salts And Esters",10,0,0,15,5,5,37
29157020,Ethyl Palmitate And Isopropyl Palmitate,10,0,0,15,5,5,37
29157031,Sodium salt of palmitic acid (soap noodle),25,3,0,15,5,5,58.6
29157039,Other Palmatic Acid/Salt,25,3,0,15,5,5,58.6
29159000,"Other Saturated Acyclic Monocarboxylic Acids And Their... Derivatives, Nes",25,3,0,15,5,5,58.6
29161100,Acrylic Acid And Its Salts,5,0,0,15,5,5,31
29161200,ESTERS OF ACRYLIC ACID,5,0,0,15,5,5,31
29161300,METHACRYLIC ACID AND ITS SALTS,5,0,0,15,5,5,31
29161400,ESTERS OF METHACRYLIC ACID,5,0,0,15,5,5,31
29161500,"Oleic, Linoleic Or Linolenic Acids, Their Salts And Esters",5,0,0,15,5,5,31
29161600,Binapacryl (ISO),5,0,0,15,5,5,31
29161900,"Other Unsaturated Acyclic Monocarboxylic Acids And Their...Derivatives,Nes",5,0,0,15,5,5,31
29162000,"Cyclanic...Cycloterpenic Monocarboxylic Acids, Etc, Their... Derivatives",25,3,0,15,5,5,58.6
29163100,"Benzoic Acid, Its Salts And Esters",5,0,0,15,5,5,31
29163200,Benzoyl Peroxide And Benzoyl Chloride,5,0,0,15,5,5,31
29163400,Phenylacetic Acid And Its Salts,5,0,0,15,5,5,31
29163900,"Aromatic monocarboxylic acids, etc, their... derivatives, nes",5,0,0,15,5,5,31
29171100,"Oxalic Acid, Its Salts And Esters",10,0,0,15,5,5,37
29171200,"Adipic Acid, Its Salts And Esters",10,0,0,15,5,5,37
29171300,"Azelaic Acid, Sebacic Acid, Their Salts And Esters",10,0,0,15,5,5,37
29171400,Maleic Anhydride,10,0,0,15,5,5,37
29171900,"Acyclic polycarboxylic acids, etc, their... derivatives, nes",10,0,0,15,5,5,37
29172000,"Cyclanic... Cycloterpenic Polycarboxylic Acids, Etc, Their...Derivatives",10,0,0,15,5,5,37
29173200,Dioctyl orthophthalates,25,3,10,15,5,5,73.96
29173300,Dinonyl Or Didecyl Orthophthalates,25,0,10,15,5,5,70
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29173400,"Other Esters Of Orthophthalic Acid,",25,3,20,15,5,5,89.32
29173500,Phthalic Anhydride,5,0,0,15,5,5,31
29173600,Terephthalic acid and its salts,25,3,0,15,5,5,58.6
29173700,Dimethyl Terephthalate,25,3,0,15,5,5,58.6
29173910,Purified Isophtalic Acid (IPA),25,3,20,15,5,5,89.32
29173990,"Other Aromatic Polycarboxylic Acids, Etc, Their... Derivatives, Nes",25,3,10,15,5,5,73.96
29181100,"Lactic Acid, Its Salts And Esters",5,0,0,15,5,5,31
29181200,Tartaric Acid,5,0,0,15,5,5,31
29181300,Salts And Esters Of Tartaric Acid,5,0,0,15,5,5,31
29181400,Citric Acid,5,0,0,15,5,5,31
29181500,Salts And Esters Of Citric Acid,5,0,0,15,5,5,31
29181600,"Gluconic Acid, Its Salts And Esters",5,0,0,15,5,5,31
29181700,"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",5,0,0,15,5,5,31
29181800,Chlorobenzilate (ISO),5,0,0,15,5,5,31
29181910,"Calcium,Lactate,Calcium Livulinate,Calc.Sodium Lactate,Cantharides,Canthr.",5,0,0,15,5,5,31
29181990,"Carboxylic Acids With Alcohol Function,Without Oxygen Function..Nes",10,0,0,15,5,5,37
29182100,Salicylic Acid And Its Salts,5,0,0,15,5,5,31
29182200,"O-Acetylsalicylic Acid, Its Salts And Esters",5,0,0,15,5,5,31
29182300,Other Esters Of Salicylic Acid And Their Salts,5,0,0,15,5,5,31
29182900,"Oth.Carboxylic Acids With Phenol Function,But Without Derivatives Nes",5,0,0,15,5,5,31
29183000,"Carboxylic Acids With Aldehyde,Or Ketone Function...& Their Derivatives",10,0,0,15,5,5,37
29189100,"2, 4, 5T (ISO) (2, 4, 5trichlorophenoxyacetic acid), its salts and esters",5,0,0,15,5,5,31
29189900,"Car. acids with add.Oxy.func.&their.. Excl.2, 4, 5-T (ISO) (2,4,5-trichlo.acid)",5,0,0,15,5,5,31
29191000,"Tris (2, 3dibromopropyl) phosphate",5,0,0,15,5,5,31
29199000,Phosphoric esters..derivatives.Exclu. Tris phosphate & Tetrasodium fosfertrol a,5,0,0,15,5,5,31
29201100,Parathion (ISO) and parathionmethyl (ISO) (methylparathion),5,0,0,15,5,5,31
29201900,Thiopho. esters... nitrosated derivatives: Excl. Parathion (ISO) &para.-methyl,5,0,0,15,5,5,31
29202100,Dimethyl phosphite,5,0,0,15,5,5,31
29202200,Diethyl phosphite,5,0,0,15,5,5,31
29202300,Trimethyl phosphite,5,0,0,15,5,5,31
29202400,Triethyl phosphite,5,0,0,15,5,5,31
29202900,Other,5,0,0,15,5,5,31
29203000,Endosulfan (ISO),5,0,0,15,5,5,31
29209010,"Erythrityl Tetranitrate, Isosorbidedinitate",5,0,0,15,5,5,31
29209090,"Oth.Ester Of Oth.Inorganic Acids(Exl.Of Hdrgn.Halides),Deriv.(Ex.Erythrit.",10,0,0,15,5,5,37
29211100,"Methylamine, Di- Or Trimethylamine And Their Salts",5,0,0,15,5,5,31
29211200,"2-(N,N-Dimethylamino)ethylchloride hydrochloride",5,0,0,15,5,5,31
29211300,"2-(N,N-Diethylamino)ethylchloride hydrochloride",5,0,0,15,5,5,31
29211400,"2-(N,N-Diisopropylamino)ethylchloride hydrochloride",5,0,0,15,5,5,31
29211910,Nitrogen mustards: HN1: Bis(2-chloroethyl)ethylamine,5,0,0,15,5,5,31
29211920,Nitrogen mustards: HN2: Bis(2-chloroethyl)methylamine,5,0,0,15,5,5,31
29211930,Nitrogen mustards: HN3: Tris(2-chloroethyl)amine,5,0,0,15,5,5,31
29211940,"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethyl-2-chlorides and corresponding protonate",5,0,0,15,5,5,31
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29211990,Other,5,0,0,15,5,5,31
29212110,Ethylenediamine And Its Salts,0,0,0,0,5,5,10
29212190,Ethylenediamine And Its Salts,5,0,0,15,5,5,31
29212200,Hexamethylenediamine And Its Salts,5,0,0,15,5,5,31
29212900,"Other Acyclic Polyamines And Their Derivatives, Salts Thereof, Nes",5,0,0,15,5,5,31
29213000,"Cyclanic...Or Cycloterpenic Mono- Or Polyamines, Etc; Salts Thereof",5,0,0,15,5,5,31
29214100,Aniline And Its Salts,5,0,0,15,5,5,31
29214200,Aniline Derivatives And Their Salts,5,0,0,15,5,5,31
29214300,Toluidines And Their Derivatives; Salts Thereof,5,0,0,15,5,5,31
29214400,Diphenylamine And Its Derivatives; Salts Thereof,5,0,0,15,5,5,31
29214500,"1-Naphthylamine, 2-Naphthylamine And Their Derivatives; Salts Thereof",5,0,0,15,5,5,31
29214600,"AMFETAMINE(INN),BENZFETAMINE(NN),DEXAMFETAMINE(INN)ETILAMFETAMINE(INN",5,0,0,15,5,5,31
29214900,"Other Aromatic Monoamines And Their Derivatives, Nes; Salts Thereof",5,0,0,15,5,5,31
29215100,"O-, M-, P-Phenylenediamine, Diaminotoluenes, Etc; Salts Thereof",5,0,0,15,5,5,31
29215900,"Other Aromatic Polyamines And Their Derivatives, Nes; Salts Thereof",5,0,0,15,5,5,31
29221100,Monoethanolamine And Its Salts,5,0,0,15,5,5,31
29221200,Diethanolamine And Its Salts,5,0,0,15,5,5,31
29221400,DEXTROPROPOXYPHENE (INN) AND ITS SALTS,5,0,0,15,5,5,31
29221500,Triethanolamine,5,0,0,15,5,5,31
29221600,Diethanolammonium perfluorooctane sulphonate,5,0,0,15,5,5,31
29221700,Methyldiethanolamine and ethyldiethanolamine,5,0,0,15,5,5,31
29221800,"2-(N,N-Diisopropylamino)ethanol",5,0,0,15,5,5,31
29221910,"Amino-alcohols, their ethers and esters with only 1 oxygen function, nes",0,0,0,15,5,5,25
29221991,"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-ols and corresponding protonated sal",5,0,0,15,5,5,31
29221999,"Other than N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-ols and corresponding pro",5,0,0,15,5,5,31
29222100,Aminohydroxynaphthalenesulphonic Acids And Their Salts,5,0,0,15,5,5,31
29222910,"Acetaminophen,Methoxyphenamine,P-Acetaminopaenol",5,0,0,15,5,5,31
29222990,"Other Amino-Naphthols &-Phenols,Etc.. Oxygen Function;Salts, Nes",10,0,0,15,5,5,37
29223100,"AMFEPRAMONE(INN),METHADONE(INN);SALTS THEREOF",5,0,0,15,5,5,31
29223900,"AMINO-ALDEHYDES,AMINO-KETONES & AMINO-QUINONES,OTH. THAN THOSE CONT.",5,0,0,15,5,5,31
29224100,Lysine And Its Esters; Salts Thereof,5,0,0,0,5,5,15.25
29224210,Tasting salts ((monosodium glutamate) in retail pack upto 2.5 kg,25,3,0,15,5,5,58.6
29224220,Tasting salts (monosodium glutamate) in other packing,10,0,0,15,5,5,37
29224290,"Glutamic acid and its salts, NES",5,0,0,15,5,5,31
29224300,Anthranilic Acid And Its Salts,5,0,0,15,5,5,31
29224400,TILIDINE(INN) AND ITS SALTS,5,0,0,15,5,5,31
29224900,"Oth.Amino-Acids&Their Esters,>1 Kind Of Oxygen Function; Salts Thereof,Nes",5,0,0,15,5,5,31
29225000,"Amino-alcohol/acid-phenols; amino-compounds with oxygen function, nes",5,0,0,15,5,5,31
29231000,Choline And Its Salts,0,0,0,0,5,5,10
29232000,Lecithins And Other Phosphoaminolipids,5,0,0,15,5,5,31
29233000,Tetraethylammonium perfluorooctane sulphonate,5,0,0,15,5,5,31
29234000,Didecyldimethylammonium perfluorooctane sulphonate,5,0,0,15,5,5,31
29239000,"Quaternary Ammonium Salts And Hydroxides, Nes",5,0,0,15,5,5,31
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29241100,MEPROBAMATE (INN),5,0,0,15,5,5,31
29241200,"Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",5,0,0,15,5,5,31
29241900,"Acyclic amides (incl. acyclic carbamates) and derivatives; salts thereof,nes",5,0,0,15,5,5,31
29242100,Ureines And Their Derivatives; Salts Thereof,5,0,0,15,5,5,31
29242300,2-ACETAMIDOBENZOIC ACID (N-ACETYLANTHRANILIC ACID)&ITS SALTS,5,0,0,15,5,5,31
29242400,ETHINAMATE (INN),5,0,0,15,5,5,31
29242500,Alachlor (ISO),5,0,0,15,5,5,31
29242900,"Cyclic amides (incl. carbamates) and derivatives; salts thereof, nes",5,0,0,15,5,5,31
29251100,Saccharin And Its Salts,5,0,0,15,5,5,31
29251200,GLUTETHIMIDE (INN),5,0,0,15,5,5,31
29251910,Imides And Their Derivatives; Salts Thereof (Excl. Saccharin),0,0,0,15,5,5,25
29251990,Imides And Their Derivatives; Salts Thereof (Excl. Saccharin),5,0,0,15,5,5,31
29252100,Chlordimeform (ISO),5,0,0,15,5,5,31
29252910,Paludrine and chloroguayide (projuanil),10,0,0,15,5,5,37
29252990,Paludrine and chloroguayide (projuanil),5,0,0,15,5,5,31
29261000,Acrylonitrile,10,0,0,15,5,5,37
29262000,1-Cyanoguanidine (Dicyandiamide),10,0,0,15,5,5,37
29263000,"FENPROPOREX(INN)&ITS SALTS;METHADONE(INN)INTER.(4-CYA.2-DIM.-4,4-DIPHENYL.",10,0,0,15,5,5,37
29264000,alpha-Phenylacetoacetonitrile,10,0,0,15,5,5,37
29269010,"Nitroxinil And Its Solution,Lsaminile",5,0,0,15,5,5,31
29269020,Acetonitrile HPLC,15,0,0,15,5,5,43
29269090,"Other Nitrile-Function Compounds, Nes",25,3,0,15,5,5,58.6
29270000,"Diazo-, Azo- Or Azoxy-Compounds",10,0,0,15,5,5,37
29280000,Organic Derivatives Of Hydrazine Or Of Hydroxylamine,10,0,0,15,5,5,37
29291000,Isocyanates,10,0,0,15,5,5,37
29299010,"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) phosphoramidic dihalides",25,3,0,15,5,5,58.6
29299020,"Dialkyl (Me, Et, n-Pr or i-Pr) N,N-dialkyl (Me, Et, n-Pr or i-Pr)-phosphoramidates",25,3,0,15,5,5,58.6
29299090,Other,25,3,0,15,5,5,58.6
29301000,"2-(N,N-Dimethylamino) ethanethiol",5,0,0,15,5,5,31
29302000,Thiocarbamates And Dithiocarbamates,5,0,0,15,5,5,31
29303000,"Thiuram Mono-, Di- Or Tetrasulphides",5,0,0,15,5,5,31
29304000,Methionine,0,0,0,0,5,5,10
29306000,"2-(N,N-Diethylamino)ethanethiol",5,0,0,15,5,5,31
29307000,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),5,0,0,15,5,5,31
29308000,"Aldicarb (ISO), captafol (ISO) and methamidophos (ISO)",5,0,0,15,5,5,31
29309010,"Other organo-sulphurcompounds, nesr",0,0,0,15,5,5,25
29309011,sulfur mustards: 2-Chloroethylchloromethylsulfide,5,0,0,15,5,5,31
29309012,Mustard gas: Bis(2-chloroethyl)sulfide,5,0,0,15,5,5,31
29309013,Bis(2-chloroethylthio)methane,5,0,0,15,5,5,31
29309014,"Sesquimustard: 1,2-Bis (2-chloroethylthio) ethane",5,0,0,15,5,5,31
29309015,"1,3-Bis(2-chloroethlthio)-n-propane",5,0,0,15,5,5,31
29309016,"1,4-Bis(2-chloroethlthio)-n-butane",5,0,0,15,5,5,31
29309017,"1,5-Bis(2-chloroethlthio)-n-nentane",5,0,0,15,5,5,31
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29309018,Bis(2-chloroethylthiomethyl)ether,5,0,0,15,5,5,31
29309019,O-mustard: Bis(2-chloroethylthioethyl)ether,5,0,0,15,5,5,31
29309021,"Amiton:O,O-Diethyl S-[2-(dieth)ethyl] phosphor. and corres. alkylated or protonated s",5,0,0,15,5,5,31
29309022,"N,N-Dialkyl(Me,Et,nProriPr)aminoethane-2-thiols and corresp. protonated salts",5,0,0,15,5,5,31
29309099,Other,5,0,0,15,5,5,31
29311000,Tetramethyl lead and tetraethyl lead,5,0,0,15,5,5,31
29312000,Tributyltin compounds,5,0,0,15,5,5,31
29314110,Methylphosphonyl dichloride,5,0,0,15,5,5,31
29314120,Dimethyl methylphosphonate,5,0,0,15,5,5,31
29314190,Other,5,0,0,15,5,5,31
29314200,"Other Organo-Inorganic compunds, Dimethyl propylphosphonate",5,0,0,15,5,5,31
29314300,"Other Organo-Inorganic Compounds, -- Diethyl ethylphosphonate",5,0,0,15,5,5,31
29314400,"Other Organo-Inorganic Compounds, Methylphosphonic acid",5,0,0,15,5,5,31
29314500,"OthOrgano-Inorganic Compounds,Salt of methylphosphonic acid(aminoiminomethyl)u",5,0,0,15,5,5,31
29314600,"Oth.Organo-Ingnc.Comp.2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxid",5,0,0,15,5,5,31
29314700,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methyl methylphospho",5,0,0,15,5,5,31
29314800,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",5,0,0,15,5,5,31
29314910,"Tabun: O-Ethyl N,N-dimethyl phosphoramidocyanidate",5,0,0,15,5,5,31
29314990,Other,5,0,0,15,5,5,31
29315100,Halogenated organo-phosphorous derivatives: Methylphosphonic dichloride,5,0,0,15,5,5,31
29315200,Halogenated organo-phosphorous derivatives: Propylphosphonic dichloride,5,0,0,15,5,5,31
29315300,O-(3-chloropropyl)O-[4-nitro-3-(trifluoromethyl)phenyl] methylphosphonothionate,5,0,0,15,5,5,31
29315400,Halogenated organo-phosphorous derivatives : Trichlorfon (ISO),5,0,0,15,5,5,31
29315910,Sarin: O-Isopropyl methylphosphonofluoridate,5,0,0,15,5,5,31
29315920,Soman: O-Pinacolyl methylphosphonofluoridate,5,0,0,15,5,5,31
29315930,VX: O-Ethyl S-2-diisopropylaminoethyl methyl phosphonothiolate,5,0,0,15,5,5,31
29315940,DF: Methylphosphonyldifluoride,5,0,0,15,5,5,31
29315950,QL: O-Ethyl O-2-diisopropylaminoethyl methylphosphonite,5,0,0,15,5,5,31
29315960,Chlorosarin: O-Isopropyl methylphosphonochloridate,5,0,0,15,5,5,31
29315970,Chlorosomsn: O-Pinacolyl methylphosphonochloridate,5,0,0,15,5,5,31
29315990,Other,5,0,0,15,5,5,31
29319010,"Other organo-inorganic compounds, (EXCL.Tetramethyl lead and tetraethyl lead & Trib",5,0,0,15,5,5,31
29319020,"Other organo-inorganic compounds, (EXCL.Tetramethyl lead and tetraethyl lead & Trib",5,0,0,15,5,5,31
29319030,"Other organo-inorganic compounds, (EXCL.Tetramethyl lead and tetraethyl lead & Trib",5,0,0,15,5,5,31
29319090,"Other organo-inorganic compounds, (EXCL.Tetramethyl lead and tetraethyl lead & Trib",5,0,0,15,5,5,31
29321100,Tetrahydrofuran,10,0,0,15,5,5,37
29321200,2-Furaldehyde (Furfuraldehyde),10,0,0,15,5,5,37
29321300,Furfuryl Alcohol And Tetrahydrofurfuryl Alcohol,10,0,0,15,5,5,37
29321400,Sucralose,10,0,0,15,5,5,37
29321900,"Compounds containing an unfused furan ring in the structure, nes",10,0,0,15,5,5,37
29322000,Lactones,10,0,0,15,5,5,37
29329100,Isosafrole,10,0,0,15,5,5,37
29329200,"1-(1,3-Benzodioxol-5-Yl)Propan-2-One",10,0,0,15,5,5,37
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29329300,Piperonal,10,0,0,15,5,5,37
29329400,Safrole,10,0,0,15,5,5,37
29329500,TETRAHYDROCANNABINOLS (ALL ISOMERS),10,0,0,15,5,5,37
29329600,Carbofuran (ISO),10,0,0,15,5,5,37
29329900,"Other Heterocyclic Compounds With Oxygen Hetero-Atom(S) Only, Nes",10,0,0,15,5,5,37
29331100,Phenazone (Antipyrin) And Its Derivatives,5,0,0,15,5,5,31
29331900,"Compounds containing an unfused pyrazole ring in the structure, nes",5,0,0,15,5,5,31
29332100,Hydantoin And Its Derivatives,5,0,0,15,5,5,31
29332900,"Other Compounds Containing An Unfused Imidazole Ring In The Structure, Nes",5,0,0,15,5,5,31
29333100,Pyridine And Its Salts,10,0,0,15,5,5,37
29333200,Piperidine And Its Salts,10,0,0,15,5,5,37
29333300,"ALFENTANIL(INN),ANILERIDINE(INN)..PROPIRAM(INN)&TRIMEPERIDINE(INN)SAL.T.OF",10,0,0,15,5,5,37
29333400,Other fentanyls and their derivatives,10,0,0,15,5,5,37
29333500,Compunds containing an unfused pyridine rimg : 3-Quinuclidinol,10,0,0,15,5,5,37
29333600,4-Anilino-N-phenethylpiperidine (ANPP),10,0,0,15,5,5,37
29333700,N-Phenethyl-4-piperidone (NPP),10,0,0,15,5,5,37
29333910,3-Quinuclidinyl benzilate,0,0,0,15,5,5,25
29333920,Quinuclidin-3-ol,0,0,0,15,5,5,25
29333990,Other,0,0,0,15,5,5,25
29334100,LEVORPHANOL (INN)AND ITS SALTS,10,0,0,15,5,5,37
29334900,"Compounds with quinoline or isoquinoline ring-system, not further fused,nes",5,0,0,15,5,5,31
29335200,MALONYLUREA (BARBITURIC ACID) AND ITS SALTS,5,0,0,15,5,5,31
29335300,ALLOBARBITAL(INN)AMOBARBITAL(INN)BARBITAL(INN)..SECBUTABARBITAL(INN)SECO,5,0,0,15,5,5,31
29335400,OTHER DERIVATIVES OF MALONYLUREA(BARBITURIC ACID);SALTS THEREOF,5,0,0,15,5,5,31
29335500,"LOPRAZOLAM(INN)MECLOQUALONE(INN),METHAQUALONE(INN)&ZIPEPROL(INN)S.TH",5,0,0,15,5,5,31
29335910,"5-fluorouracil BP, methotrexate BP, capecitabine USP, cytarabin",0,0,0,0,5,5,10
29335990,"OTHER EXCL. 5-FLUOROURACIL BP, METHOTREXATE BP, CAPECITABINE USP",5,0,0,15,5,5,31
29336100,Melamine,5,0,0,15,5,5,31
29336900,Other Compounds Containing An Unfused Triazine Ring In The Structure,5,0,0,15,5,5,31
29337100,6-Hexanelactam (Epsilon-Caprolactam),5,0,0,15,5,5,31
29337200,CLOBAZAM(INN)AND METHYPRYLON(INN),5,0,0,15,5,5,31
29337910,Other Lactams (Excl. Epsilon-Caprolactam),0,0,0,15,5,5,25
29337990,Other Lactams (Excl. Epsilon-Caprolactam),5,0,0,15,5,5,31
29339100,ALPRAZOLAM(INN)CAMAZEPAM(INN)CHLO..TETRAZEPAM(INN)&TRIAZOLAM(INN)S.TH,0,0,0,0,5,5,10
29339200,Azinphos-methyl (ISO),5,0,0,15,5,5,31
29339900,"Heterocyclic compounds with nitrogen hetero-atom(s) only,nes",0,0,0,15,5,5,25
29341000,Compounds Containing An Unfused Thiazole Ring In The Structure,5,0,0,15,5,5,31
29342000,"Compounds Containing A Benzothiazole Ring-System, Not Further Fused",5,0,0,15,5,5,31
29343000,"Compounds Containing A Phenothiazine Ring-System, Not Further Fused",5,0,0,15,5,5,31
29349100,AMINOREX(INN)BROTIZOLAM(INN)CLOTIA..SUFENTANIL(INN)SALTS THEREOF,5,0,0,15,5,5,31
29349200,Other fentanyls and their derivatives,5,0,0,15,5,5,31
29349910,NUCLEIC ACIDS AND THEIR SALTS,0,0,0,15,5,5,25
29349920,"GEMCITABINE HCI USP, CYCLOPHOSPHAMIDE BP, IPHOSPHAMIDE BP",0,0,0,0,5,5,10
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29349990,"OTH. HETEROCYCLIC COMPOUNDS, NES",5,0,0,15,5,5,31
29351000,N-Methylperfluorooctane sulphonamide,0,0,0,15,5,5,25
29352000,N-Ethylperfluorooctane sulphonamide,0,0,0,15,5,5,25
29353000,N-Ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,0,0,0,15,5,5,25
29354000,N-(2-Hydroxyethyl)-N-methylperfluorooctane sulphonamide,0,0,0,15,5,5,25
29355000,Other perfluorooctane sulphonamides,0,0,0,15,5,5,25
29359000,Other,0,0,0,15,5,5,25
29362100,"Vitamins A And Their Derivatives, Unmixed",0,0,0,15,5,5,25
29362200,"Vitamin B1 And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362300,"Vitamin B2 And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362400,D- Or Dl- Pantothenic Acid (Vitamin B3 Or B5) And Its Derivatives,0,0,0,15,5,5,25
29362500,"Vitamin B6 And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362600,"Vitamin B12 And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362700,"Vitamin C And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362800,"Vitamin E And Its Derivatives, Unmixed",0,0,0,15,5,5,25
29362900,"Other Vitamins And Their Derivatives, Unmixed",0,0,0,15,5,5,25
29369000,"Other Vitamins (Incl. Natural Concentrates), Nes",0,0,0,15,5,5,25
29371100,"SOMATOTROPIN,ITS DERIVATIVES & STRUCTURAL ANALOGUES",5,0,0,15,5,5,31
29371200,INSULIN AND ITS SALTS,0,0,0,0,5,5,10
29371910,"HCG,LEUTINISING HORMONE & RELEASING HORMONE",0,0,0,15,5,5,25
29371990,"POLY.HORMONES,PROTEIN HORMONES..NES EX.HCG,LEUTINISING HORMONE&RLSNG",5,0,0,15,5,5,31
29372100,"Cortisone, Hydrocortisone... And Predisolone (Dehydrohydrocortisone)",5,0,0,15,5,5,31
29372200,Halogenated Derivatives Of Adrenal Cortical Hormones,5,0,0,15,5,5,31
29372310,DESOGESTREL ETHINYLOESTRADIOL AND LYNESTRENAL,0,0,0,0,5,5,10
29372391,Medroxy progesterone acetate,0,0,0,15,5,5,25
29372399,Other than Medroxy progesterone acetate,5,0,0,15,5,5,31
29372900,"Other Adrenal Cortical Hormones And Their Derivatives, Nes",5,0,0,15,5,5,31
29375000,"PROSTAGLANDINS,THROMBOXANES&TEUKOTRIENES,THEIR DERIVATIVES&STA.ANALO",5,0,0,15,5,5,31
29379000,"OTHER HORMONES,PROSTAGLANDINS,..USED PRIMARILY AS HORMONES",5,0,0,15,5,5,31
29381000,Rutoside (Rutin) And Its Derivatives,5,0,0,15,5,5,31
29389010,ETOPOSIDE BP,0,0,0,0,5,5,10
29389090,"GLYCOSIDES, NATURAL OR REPRO. BY SYNTHESIS AND... EXCL. RUTOSIDE AND ITS DERI",5,0,0,15,5,5,31
29391100,CONCENTRATES OF POPPY STRAW..PHOLCODINE(INN)THEBACON(INN)&THEBAINE;SL.,10,0,0,15,5,5,37
29391900,OTHER ALKALOIDS OF OPIUM AND THEIR DERIVATIVES;SALTS THEREOF,10,0,0,15,5,5,37
29392010,Quinine and its salts,0,0,0,15,5,5,25
29392090,"Alkaloids of cinchona and their derivatives; salts thereof, Exlc. Quinine and i",10,0,0,15,5,5,37
29393000,Caffeine And Its Salts,10,0,0,15,5,5,37
29394100,Ephedrine And Its Salts Excl.Pseudoephedrine (Inn) And Its Salts,10,0,0,15,5,5,37
29394200,Pseudoephedrine (Inn) And Its Salts,10,0,0,15,5,5,37
29394300,CATHINE )INN) AND ITS SALTS,10,0,0,15,5,5,37
29394400,Norephedrine and its salts,10,0,0,15,5,5,37
29394500,"Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",10,0,0,15,5,5,37
29394900,Other Ephedrines And Their Salts Nes,10,0,0,15,5,5,37
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
29395100,FENETYLLINE (INN) AND ITS SALTS,10,0,0,15,5,5,37
29395900,OTHER THEOPHYLLINE AND AMINOPHYLLINE..DERIVATIVES;SALTS THEREOF,10,0,0,15,5,5,37
29396100,Ergometrine (Inn) And Its Salts,10,0,0,15,5,5,37
29396200,Ergotamine (Inn) And Its Salts,10,0,0,15,5,5,37
29396300,Lysergic Acid And Its Salts,10,0,0,15,5,5,37
29396900,Other Alkaloids Of Rye Ergot And Their Derivatives; Salts Thereof;Nes,10,0,0,15,5,5,37
